category,filename,jitter,shimmer,HNR,nVB,perVB,med,mean,std,min,max,total_duration,speaking_rate,articulation_rate,PCT,PCC,PCV,vowel_space,VAI,FCR,F2,0,1,2,3,4,5,6,7,8,9,10,11,12
3,M0011_CS_0002,1.954,7.77,17.244,12,49.596,210.057,203.571,20.832,70.713,298.294,11.37763,1.142592965,1.230484732,2.4390244,4.1666667,0,126907.1758,0.790221018,1.265468745,1.937151064,-798.260071,65.181335,3.138023,13.303574,3.631033,21.943893,8.563581,-10.936271,-4.36585,-6.404555,-6.479089,-9.603294,-4.295814
3,M0011_CS_0003,3.229,10.212,15.209,11,59.171,214.816,213.554,39.965,72.775,469.891,14.61525,1.163168608,1.231590291,5.1282051,4.5454545,5.8823529,125277.8684,0.789288844,1.266963302,1.936287136,-770.410339,69.89212,-14.636028,8.720604,-1.448724,15.202994,0.44217,-17.954811,-4.183192,-1.399894,-4.665565,-4.840882,-2.954813
3,M0011_CS_0004,3.218,13.523,12.808,11,53.406,195.72,210.871,20.335,84.595,600.652,11.21431,1.694263847,1.783435628,0,0,0,125277.8684,0.789288844,1.266963302,1.936287136,-737.704102,78.190872,-16.399965,20.974354,-2.509249,20.626858,1.856338,-19.058474,-4.018354,-2.833556,-5.448527,-8.501892,-0.992775
3,M0011_CS_1001,1.712,9.75,15.981,21,53.912,216.39,224.533,24.619,71.364,532.493,18.22906,0.932576885,0.987434349,9.5238095,7.6923077,12.5,123757.8679,0.78824157,1.268646615,1.934451002,-763.274719,72.153687,-8.421219,12.981971,-5.885847,18.872158,2.699049,-14.786823,-2.156758,-2.628985,-4.649917,-7.368113,-1.978378
3,M0011_CS_1002,2.111,8.047,16.496,15,64.258,251.349,254.431,23.321,71.146,573.541,18.55881,0.700475946,0.754358712,7.3170732,8.3333333,5.8823529,123361.5455,0.787621102,1.269646023,1.931453964,-765.216248,77.699974,-4.010863,12.975964,-1.84578,22.275122,4.940616,-15.22963,-1.5854,-3.059627,-6.807365,-8.300409,-1.178936
3,M0011_CS_1003,1.833,9.168,15.731,16,56.608,211.002,206.065,18.84,89.22,272.123,13.13344,1.142122704,1.218264217,0,0,0,122370.9118,0.786863476,1.270868493,1.928930619,-774.981689,70.793213,-5.828937,11.690065,-1.922892,19.787762,4.285113,-16.267876,-2.857778,-0.933879,-5.893646,-5.866064,0.889088
3,M0011_CS_1004,2.2,9.446,15.111,7,44.987,225.717,233.841,20.02,112.162,529.895,9.859062,2.130020077,2.231449604,0,0,0,122370.9118,0.786863476,1.270868493,1.928930619,-731.218323,81.298401,-18.081717,20.579407,-2.129147,23.946081,1.253668,-21.267759,-0.250066,-2.512664,-5.914084,-7.136137,-1.491005
3,M0020_CS_0001,1.83,7.95,18.33,22,71.1,342.64,337.24,42.98,72.1,607.66,22.83,0.74,0.79,9.5238095,7.6923077,12.5,117048.3184,0.784325587,1.274980718,1.91365859,-798.58,59.13,5.6,27.8,9.43,12.59,8.81,1.49,-0.99,2.04,1.73,-0.72,-0.01
3,M0020_CS_0002,2.67,11.05,14.84,23,62.27,305.15,292.57,62.32,68.12,608.49,15.91,0.82,0.88,4.8780488,8.3333333,0,115945.9195,0.783946372,1.275597459,1.915663459,-800.91,58.37,1.41,22.28,6.48,9.45,5.07,0.69,2.56,-1.46,-2.56,-0.95,2.4
3,M0020_CS_0003,1.16,6.58,18.08,18,66.83,340.3,346.15,103.04,78.48,539.34,19.77,0.86,0.91,2.5641026,4.5454545,0,115466.8412,0.783436118,1.276428259,1.913860992,-816.96,48.43,0.91,20.21,4.55,8.34,7.77,-2.27,-1.39,0.78,-1.53,-0.77,1.68
